name,domain,category,subcategory,description,start_date,end_date,city,country,venue_name,estimated_attendance,ticket_price_min,ticket_price_max,currency,website_url,year,sponsors,speakers,data_source,extraction_method
Skill Share - Delhi,music_festival,Concert,,"Because everyone’s got something to teach—and something to learn.""Skill Share"" is a creative social experience where curiosity meets community. It’s a night of swapping knowledge, sharing passions, and discovering just how much we can learn from one another.No stages. No hierarchies. Just people coming together—creators, learners, tinkerers, and dreamers—each bringing their own spark to the table.Whether you’re teaching pottery or poetry, learning coding or cooking, this night is about exchangin",2026-04-18,,Gurugram,India,145 Cafe & Bar,,199.0,599.0,INR,https://www.district.in/events/skill-share-delhi-apr11-2026-buy-tickets,2026,,,district,crawl4ai_markdown
THE CAGE | Chennai’s First Ever Cage Rave Experience,music_festival,Concert,,"THE CAGE – Chennai’s First Ever Cage Rave ExperienceStep into an electrifying new dimension of nightlife as&nbsp;The Cage&nbsp;brings a raw, high-energy rave experience like never before to Chennai. Designed to break boundaries and push the limits of sound, visuals, and atmosphere, this is not just a party - it’s an immersive underground movement.Headlined by&nbsp;Profanayty, along with a lineup of powerful supporting acts, expect an intense fusion of music, lights, and a charged crowd that thri",2026-04-26,,Chennai,India,"Secret Story | Nungambakkam, Chennai",,799.0,1499.0,INR,https://www.district.in/events/the-cage-chennais-first-ever-cage-rave-experience-apr26-2026-buy-tickets,2026,,,district,crawl4ai_markdown
Mera Pati Salman Khan,music_festival,Concert,,"The play ""MERA PATI SALMAN KHAN"" directed by Raj Upadhyay, revolves around 2 friends, who are re-uniting after many years. Both friends, weave a tangled web, when they brag to each other about how handsome their husbands are, how wealthy they have become and are living a life of luxury. To continue this charade, they involve their husbands and family members and sink deeper into the abyss of make believe. However, the situation explodes in their faces and they realise their folly of living a lif",2026-05-01,,New Delhi,India,Shri Ram Centre for Performing Arts,,300.0,1000.0,INR,https://www.district.in/events/mera-pati-salman-khan-2026-buy-tickets,2026,,,district,crawl4ai_markdown
Mochakk India Tour | Delhi NCR,music_festival,Concert,,"The global house phenomenon touches down in India for his long-awaited debut.Mochakk brings his signature blend of high-energy beats, house, techno and funk — a groove-heavy sound that’s been shaking dance floors from Ibiza to the world’s biggest festival stages. We know him for his one-of-a-kind and groove-driven sets. His India debut isn’t about hype, It’s about pure connection to his music.Get ready for deep grooves &amp; rolling basslines!MOCHAKK CALLING.India, are you ready to answer?",2026-05-09,,,India,Venue to be announced,,2000.0,12000.0,INR,https://www.district.in/events/mochakk-india-tour-delhi-ncr-2026-buy-tickets,2026,,,district,crawl4ai_markdown
Desi Bass Night,music_festival,Concert,,🔊🔥 DESI BASS NIGHT 🔥🔊Feel the drop. Own the dhol. Move to the madness.Desi Bass Night is where hard-hitting basslines collide with pure desi swag. From Punjabi bangers and Bollywood remixes to high-energy EDM drops infused with Indian beats — this night is built for those who like their music loud and their vibe unapologetic.✨ What to expect:🎧 Bass-heavy DJ sets🥁 Dhol &amp; desi mashups💃 Electrifying dance floor energy🍹 Power-packed drinks &amp; party shots🔥 Non-stop drops that hit differentThis,2026-04-18,,Ghaziabad,India,"Ru-Bar-Ru | Kaushambi, Ghaziabad",,200.0,200.0,INR,https://www.district.in/events/desi-bass-night-feb27-2026-buy-tickets,2026,,,district,crawl4ai_markdown
Madras Rock Collective,music_festival,Concert,,"Madras Rock Collective brings together some of Chennai’s most seasoned musicians, celebrating the legacy of classic rock with powerful performances and unmatched musicianship. Blending nostalgia, authenticity, and energy, the band delivers a mix of iconic tributes and original music that capture the true soul of rock across eras.Chennai’s Premier Rock ExperienceBand HighlightsElectrifying PerformancesHigh-energy live shows that bring the spirit of classic rock to lifeVirtuoso MusiciansFeaturing",2026-04-17,,,India,"Bay 146 - The Savera Hotel | The Savera Hotel, RK Salai (Cathedral Road)",,250.0,499.0,INR,https://www.district.in/events/madras-rock-collective-apr17-2026-buy-tickets,2026,,,district,crawl4ai_markdown
Reset Live 2026 Label Showcase April Edition,music_festival,Concert,,"join us for an evening of underground electronic &amp; experimental performances with cutting-edge beats, creating a symphony of sound that transcends genres.Artist Lineup:Robinson's Village, United KingdomJack Sapienza, ItalyAndrea Dipa, ItalyMatilde, Italyreset [live] continues&nbsp;to highlight exploratory and experimental music. we`re an experimental culture driven brand with it`s goal to constantly drive innovation and inspire, thus helping to lead and define the progression of electronic&n",2026-04-25,,New Delhi,India,RESET NETWORKS STUDIOS,,399.0,399.0,INR,https://www.district.in/events/reset-live-2026-label-showcase-april-edition-apr25-2026-buy-tickets,2026,,,district,crawl4ai_markdown
ZIKR Baithak,music_festival,Concert,,"ZIKR is an intimate listening-led live music baithak of old Hindi songs, ghazals, and poetry. Mogre ke gajre ki khushboo, kullad waali chai aur aapke favourite puraane gaane.This is not a concert with thousands of people but an evening where music is experienced slowly, intimately, and intentionally. It is an evening designed for those who value nostalgia, stillness, and meaningful cultural experiences.Unlike loud concerts or background music nights, ZIKR is an intimate, listening-led baithak wh",2026-04-26,,Gurugram,India,The Quorum Gurgaon,,2950.0,2950.0,INR,https://www.district.in/events/zikr-baithak-apr26-2026-buy-tickets,2026,,,district,crawl4ai_markdown
Cooldown Presents - A Quality Jamming Show,music_festival,Concert,,"CoolDown brings you A Quality Jamming Show, a high-energy, premium jamming experience where the city’s most passionate music lovers come together under one roof. Hosted at Convose BYOB &amp; Cafe, this isn’t your usual gig—it’s an immersive night of sound, energy, and connection.Expect a powerhouse lineup featuring Cooldown’s core artists, like Kshitij Garg, Abhimanyu Singh, Percussive Chahat, and Gori, along with guest performers bringing you a mix of indie pop, Sufi rock, and nostalgic Bollywo",2026-04-18,,Gurgaon,India,Convose,,399.0,499.0,INR,https://www.district.in/events/cooldown-presents-open-air-jamming-event-mar14-2026-buy-tickets,2026,,,district,crawl4ai_markdown
The Breathless Celebration,music_festival,Concert,,An event created for exclusive celebration of completing 2 years in music industry with high energetic tamil songs performed by the breathless band . alongside come witness the final performance of the talent hunt contest and make the weekend a vibrant one,2026-04-18,,Chennai,India,IDAM - The Art & Cultural Space | An initiative by Theare Akku,,199.0,199.0,INR,https://www.district.in/events/the-breathless-celebration-apr18-2026-buy-tickets,2026,,,district,crawl4ai_markdown
Delhi NCR's First La Tomatina 2026,music_festival,Concert,,"What is La Tomatina?It`s simple: thousands of tomatoes, one epic battlefield, and zero rules except to have the time of your life. You throw, you dodge, you get drenched - and you walk away with memories you`ll be talking about for yearsWhy book with us ?Unlike many events, we don`t overcrowd our events. We believe in keeping the crowd premium and well-managed, so everyone can enjoy better space, better services, and a better experience.What`s included?Massive Tomato Fight ZoneLive DJ &amp; Non-",2026-05-16,,,India,Mannat Park,,2300.0,5500.0,INR,https://www.district.in/events/delhi-ncrs-first-la-tomatina-2026-may16-2026-buy-tickets,2026,,,district,crawl4ai_markdown
